date,ticker,date,close
2018-03-27,MSFT,2018-03-27,89.47
2018-03-26,MSFT,2018-03-26,93.78
2018-03-23,MSFT,2018-03-23,87.18
2018-03-22,MSFT,2018-03-22,89.79
2018-03-21,MSFT,2018-03-21,92.48
2018-03-20,MSFT,2018-03-20,93.13
2018-03-19,MSFT,2018-03-19,92.89
2018-03-16,MSFT,2018-03-16,94.6
2018-03-15,MSFT,2018-03-15,94.18
2018-03-14,MSFT,2018-03-14,93.85
2018-03-13,MSFT,2018-03-13,94.41
2018-03-12,MSFT,2018-03-12,96.77
2018-03-09,MSFT,2018-03-09,96.54
2018-03-08,MSFT,2018-03-08,94.43
2018-03-07,MSFT,2018-03-07,93.86
2018-03-06,MSFT,2018-03-06,93.32
2018-03-05,MSFT,2018-03-05,93.64
2018-03-02,MSFT,2018-03-02,93.05
2018-03-01,MSFT,2018-03-01,92.85
2018-02-28,MSFT,2018-02-28,93.77
2018-02-27,MSFT,2018-02-27,94.2
2018-02-26,MSFT,2018-02-26,95.42
2018-02-23,MSFT,2018-02-23,94.06
2018-02-22,MSFT,2018-02-22,91.74
2018-02-21,MSFT,2018-02-21,91.49
2018-02-20,MSFT,2018-02-20,92.72
2018-02-16,MSFT,2018-02-16,92.0
2018-02-15,MSFT,2018-02-15,92.66
2018-02-14,MSFT,2018-02-14,90.81
2018-02-13,MSFT,2018-02-13,89.83
2018-02-12,MSFT,2018-02-12,89.13
2018-02-09,MSFT,2018-02-09,88.1
2018-02-08,MSFT,2018-02-08,84.89
2018-02-07,MSFT,2018-02-07,89.61
2018-02-06,MSFT,2018-02-06,91.33
2018-02-05,MSFT,2018-02-05,89.05
2018-02-02,MSFT,2018-02-02,91.78
2018-02-01,MSFT,2018-02-01,94.26
2018-01-31,MSFT,2018-01-31,95.01
2018-01-30,MSFT,2018-01-30,92.74
2018-01-29,MSFT,2018-01-29,93.92
2018-01-26,MSFT,2018-01-26,94.06
2018-01-25,MSFT,2018-01-25,92.33
2018-01-24,MSFT,2018-01-24,91.82
2018-01-23,MSFT,2018-01-23,91.9
2018-01-22,MSFT,2018-01-22,91.61
2018-01-19,MSFT,2018-01-19,90.0
2018-01-18,MSFT,2018-01-18,90.1
2018-01-17,MSFT,2018-01-17,90.14
2018-01-16,MSFT,2018-01-16,88.35
2018-01-12,MSFT,2018-01-12,89.58
2018-01-11,MSFT,2018-01-11,88.08
2018-01-10,MSFT,2018-01-10,87.82
2018-01-09,MSFT,2018-01-09,88.22
2018-01-08,MSFT,2018-01-08,88.28
2018-01-05,MSFT,2018-01-05,88.19
2018-01-04,MSFT,2018-01-04,87.11
2018-01-03,MSFT,2018-01-03,86.35
2018-01-02,MSFT,2018-01-02,85.95
2018-03-27,GOOG,2018-03-27,1005.1
2018-03-26,GOOG,2018-03-26,1053.21
2018-03-23,GOOG,2018-03-23,1021.57
2018-03-22,GOOG,2018-03-22,1049.08
2018-03-21,GOOG,2018-03-21,1090.88
2018-03-20,GOOG,2018-03-20,1097.71
2018-03-19,GOOG,2018-03-19,1099.82
2018-03-16,GOOG,2018-03-16,1135.73
2018-03-15,GOOG,2018-03-15,1149.58
2018-03-14,GOOG,2018-03-14,1149.49
2018-03-13,GOOG,2018-03-13,1138.17
2018-03-12,GOOG,2018-03-12,1164.5
2018-03-09,GOOG,2018-03-09,1160.04
2018-03-08,GOOG,2018-03-08,1126.0
2018-03-07,GOOG,2018-03-07,1109.64
2018-03-06,GOOG,2018-03-06,1095.06
2018-03-05,GOOG,2018-03-05,1090.93
2018-03-02,GOOG,2018-03-02,1078.92
2018-03-01,GOOG,2018-03-01,1069.52
2018-02-28,GOOG,2018-02-28,1104.73
2018-02-27,GOOG,2018-02-27,1118.29
2018-02-26,GOOG,2018-02-26,1143.75
2018-02-23,GOOG,2018-02-23,1126.79
2018-02-22,GOOG,2018-02-22,1106.63
2018-02-21,GOOG,2018-02-21,1111.34
2018-02-20,GOOG,2018-02-20,1102.46
2018-02-16,GOOG,2018-02-16,1094.8
2018-02-15,GOOG,2018-02-15,1089.52
2018-02-14,GOOG,2018-02-14,1069.7
2018-02-13,GOOG,2018-02-13,1052.1
2018-02-12,GOOG,2018-02-12,1051.94
2018-02-09,GOOG,2018-02-09,1035.88
2018-02-08,GOOG,2018-02-08,1001.0
2018-02-07,GOOG,2018-02-07,1048.58
2018-02-06,GOOG,2018-02-06,1080.6
2018-02-05,GOOG,2018-02-05,1064.35
2018-02-02,GOOG,2018-02-02,1111.9
2018-02-01,GOOG,2018-02-01,1167.7
2018-01-31,GOOG,2018-01-31,1169.94
2018-01-30,GOOG,2018-01-30,1163.69
2018-01-29,GOOG,2018-01-29,1175.58
2018-01-26,GOOG,2018-01-26,1175.84
2018-01-25,GOOG,2018-01-25,1170.37
2018-01-24,GOOG,2018-01-24,1164.24
2018-01-23,GOOG,2018-01-23,1169.97
2018-01-22,GOOG,2018-01-22,1155.81
2018-01-19,GOOG,2018-01-19,1137.51
2018-01-18,GOOG,2018-01-18,1129.79
2018-01-17,GOOG,2018-01-17,1131.98
2018-01-16,GOOG,2018-01-16,1121.76
2018-01-12,GOOG,2018-01-12,1122.26
2018-01-11,GOOG,2018-01-11,1105.52
2018-01-10,GOOG,2018-01-10,1102.61
2018-01-09,GOOG,2018-01-09,1106.26
2018-01-08,GOOG,2018-01-08,1106.94
2018-01-05,GOOG,2018-01-05,1102.23
2018-01-04,GOOG,2018-01-04,1086.4
2018-01-03,GOOG,2018-01-03,1082.48
2018-01-02,GOOG,2018-01-02,1065.0
2018-03-27,AAPL,2018-03-27,168.34
2018-03-26,AAPL,2018-03-26,172.77
2018-03-23,AAPL,2018-03-23,164.94
2018-03-22,AAPL,2018-03-22,168.845
2018-03-21,AAPL,2018-03-21,171.27
2018-03-20,AAPL,2018-03-20,175.24
2018-03-19,AAPL,2018-03-19,175.3
2018-03-16,AAPL,2018-03-16,178.02
2018-03-15,AAPL,2018-03-15,178.65
2018-03-14,AAPL,2018-03-14,178.44
2018-03-13,AAPL,2018-03-13,179.97
2018-03-12,AAPL,2018-03-12,181.72
2018-03-09,AAPL,2018-03-09,179.98
2018-03-08,AAPL,2018-03-08,176.94
2018-03-07,AAPL,2018-03-07,175.03
2018-03-06,AAPL,2018-03-06,176.67
2018-03-05,AAPL,2018-03-05,176.82
2018-03-02,AAPL,2018-03-02,176.21
2018-03-01,AAPL,2018-03-01,175.0
2018-02-28,AAPL,2018-02-28,178.12
2018-02-27,AAPL,2018-02-27,178.39
2018-02-26,AAPL,2018-02-26,178.97
2018-02-23,AAPL,2018-02-23,175.555
2018-02-22,AAPL,2018-02-22,172.6
2018-02-21,AAPL,2018-02-21,171.07
2018-02-20,AAPL,2018-02-20,171.85
2018-02-16,AAPL,2018-02-16,172.43
2018-02-15,AAPL,2018-02-15,172.99
2018-02-14,AAPL,2018-02-14,167.37
2018-02-13,AAPL,2018-02-13,164.34
2018-02-12,AAPL,2018-02-12,162.71
2018-02-09,AAPL,2018-02-09,155.97
2018-02-08,AAPL,2018-02-08,155.32
2018-02-07,AAPL,2018-02-07,159.54
2018-02-06,AAPL,2018-02-06,163.03
2018-02-05,AAPL,2018-02-05,157.49
2018-02-02,AAPL,2018-02-02,160.37
2018-02-01,AAPL,2018-02-01,167.78
2018-01-31,AAPL,2018-01-31,167.43
2018-01-30,AAPL,2018-01-30,166.97
2018-01-29,AAPL,2018-01-29,167.96
2018-01-26,AAPL,2018-01-26,171.51
2018-01-25,AAPL,2018-01-25,171.11
2018-01-24,AAPL,2018-01-24,174.22
2018-01-23,AAPL,2018-01-23,177.04
2018-01-22,AAPL,2018-01-22,177.0
2018-01-19,AAPL,2018-01-19,178.46
2018-01-18,AAPL,2018-01-18,179.26
2018-01-17,AAPL,2018-01-17,179.1
2018-01-16,AAPL,2018-01-16,176.19
2018-01-12,AAPL,2018-01-12,177.09
2018-01-11,AAPL,2018-01-11,175.28
2018-01-10,AAPL,2018-01-10,174.29
2018-01-09,AAPL,2018-01-09,174.33
2018-01-08,AAPL,2018-01-08,174.35
2018-01-05,AAPL,2018-01-05,175.0
2018-01-04,AAPL,2018-01-04,173.03
2018-01-03,AAPL,2018-01-03,172.23
2018-01-02,AAPL,2018-01-02,172.26
